x	y	fast_likelihood_quarks.yaml	custom_beta	global
-1.910204081632653	1.4857142857142858	-376.3751574721497	-299.13627373157885	-376.3751574721497
-1.910204081632653	1.5706122448979594	-422.0855653720647	-335.53129219124173	-422.0855653720647
-1.910204081632653	1.655510204081633	-470.7713319619569	-374.0556313349283	-470.7713319619569
-1.910204081632653	1.7404081632653061	-522.5417438082932	-414.71595383208467	-522.5417438082932
-1.910204081632653	1.8253061224489797	-577.5480275445697	-457.518941789867	-577.5480275445697
-1.910204081632653	1.9102040816326533	-635.8960656347115	-502.471296812815	-635.8960656347115
-1.910204081632653	1.9951020408163265	-697.7164185755234	-549.5797400632786	-697.7164185755234
-1.910204081632653	2.08	-763.1517132939254	-598.8510123215318	-763.1517132939254
-1.8253061224489797	-2.08	-1088.1027651534105	-607.8958975482273	-1088.1027651534105
-1.8253061224489797	-1.9951020408163267	-1003.0443268751143	-560.6271837099183	-1003.0443268751143
-1.8253061224489797	-1.910204081632653	-921.893074669934	-515.2247420697908	-921.893074669934
-1.8253061224489797	-1.8253061224489797	-844.59265747405	-471.69447052722137	-844.59265747405
-1.8253061224489797	-1.7404081632653061	-771.0907134850182	-430.04228407141807	-771.0907134850182
-1.8253061224489797	-1.6555102040816327	-701.3341479022987	-390.2741148338172	-701.3341479022987
-1.8253061224489797	-1.5706122448979594	-635.2737419300897	-352.3959121401589	-635.2737419300897
-1.8253061224489797	-1.4857142857142858	-572.8536255687735	-316.41364256305553	-572.8536255687735
-1.8253061224489797	-1.4008163265306122	-514.0271652646705	-282.33328997465367	-514.0271652646705
-1.8253061224489797	-1.3159183673469388	-458.74508169965713	-250.16085559974215	-458.74508169965713
-1.8253061224489797	-1.2310204081632654	-406.9609351155981	-219.9023580686022	-406.9609351155981
-1.8253061224489797	-1.1461224489795918	-358.633993181862	-191.56383347013184	-358.633993181862
-1.8253061224489797	-1.0612244897959184	-313.70582469613055	-165.15133540558952	-313.70582469613055
-1.8253061224489797	-0.9763265306122448	-272.6706319472827	-140.67093504182753	-272.6706319472827
-1.8253061224489797	-0.8914285714285715	-234.4262889890906	-118.12872116529252	-234.4262889890906
-1.8253061224489797	-0.8065306122448979	-199.4571131134067	-97.53080023568168	-199.4571131134067
-1.8253061224489797	-0.7216326530612245	-167.7243133441342	-78.88329644045336	-167.7243133441342
-1.8253061224489797	-0.6367346938775511	-139.1829568841025	-62.192351748698684	-139.1829568841025
-1.8253061224489797	-0.5518367346938775	-113.79825545254408	-47.464125965901985	-113.79825545254408
-1.8253061224489797	-0.46693877551020413	-91.51033500920937	-34.70479678848551	-91.51033500920937
-1.8253061224489797	-0.38204081632653053	-72.32572115662833	-23.920559858654656	-72.32572115662833
-1.8253061224489797	-0.29714285714285715	-56.15044483294071	-15.117628819434685	-56.15044483294071
-1.8253061224489797	-0.21224489795918355	-43.032760481843184	-8.302235369825667	-43.032760481843184
-1.8253061224489797	-0.12734693877551018	-32.99851016226768	-3.480629320247317	-32.99851016226768
-1.8253061224489797	-0.0424489795918368	-25.776008196908606	-0.659078648058312	-25.776008196908606
-1.8253061224489797	0.0424489795918368	-21.39981375502026	0.15613044665906273	-21.39981375502026
-1.8253061224489797	0.1273469387755104	-19.49292190502979	-1.0413065148192118	-19.49292190502979
