x	y	likelihood_ewpt.yaml	global
-1.910204081632653	1.7404081632653061	-497.03086777581774	-497.03086777581774
-1.910204081632653	1.8253061224489797	-319.47807808829594	-319.47807808829594
-1.910204081632653	1.9102040816326533	-190.41782232160432	-190.41782232160432
-1.910204081632653	1.9951020408163265	-109.91910353599086	-109.91910353599086
-1.910204081632653	2.08	-78.05082628369745	-78.05082628369745
-1.8253061224489797	-2.08	-55015.37812738898	-55015.37812738898
-1.8253061224489797	-1.9951020408163267	-52778.34354692271	-52778.34354692271
-1.8253061224489797	-1.910204081632653	-50586.6917619875	-50586.6917619875
-1.8253061224489797	-1.8253061224489797	-48440.495309781036	-48440.495309781036
-1.8253061224489797	-1.7404081632653061	-46339.82666400948	-46339.82666400948
-1.8253061224489797	-1.6555102040816327	-44284.75823412807	-44284.75823412807
-1.8253061224489797	-1.5706122448979594	-42275.36236457011	-42275.36236457011
-1.8253061224489797	-1.4857142857142858	-40311.71133398108	-40311.71133398108
-1.8253061224489797	-1.4008163265306122	-38393.87735444843	-38393.87735444843
-1.8253061224489797	-1.3159183673469388	-36521.93257072762	-36521.93257072762
-1.8253061224489797	-1.2310204081632654	-34695.949059471415	-34695.949059471415
-1.8253061224489797	-1.1461224489795918	-32915.998828455304	-32915.998828455304
-1.8253061224489797	-1.0612244897959184	-31182.153815798614	-31182.153815798614
-1.8253061224489797	-0.9763265306122448	-29494.48588918665	-29494.48588918665
-1.8253061224489797	-0.8914285714285715	-27853.066845095447	-27853.066845095447
-1.8253061224489797	-0.8065306122448979	-26257.9684080044	-26257.9684080044
-1.8253061224489797	-0.7216326530612245	-24709.262229616237	-24709.262229616237
-1.8253061224489797	-0.6367346938775511	-23207.019888073923	-23207.019888073923
-1.8253061224489797	-0.5518367346938775	-21751.31288717312	-21751.31288717312
-1.8253061224489797	-0.46693877551020413	-20342.212655573825	-20342.212655573825
-1.8253061224489797	-0.38204081632653053	-18979.79054601436	-18979.79054601436
-1.8253061224489797	-0.29714285714285715	-17664.11783451741	-17664.11783451741
