x	y	likelihood_ewpt.yaml	global
-0.9975510204081633	1.5706122448979594	-2867.83214635822	-2867.83214635822
-0.9975510204081633	1.655510204081633	-2866.918211759744	-2866.918211759744
-0.9975510204081633	1.7404081632653061	-2866.0973745111355	-2866.0973745111355
-0.9975510204081633	1.8253061224489797	-2865.369720895912	-2865.369720895912
-0.9975510204081633	1.9102040816326533	-2864.735337163403	-2864.735337163403
-0.9975510204081633	1.9951020408163265	-2864.19430952897	-2864.19430952897
-0.9975510204081633	2.08	-2863.7467241737613	-2863.7467241737613
-0.9551020408163265	-2.08	-2701.215560082072	-2701.215560082072
-0.9551020408163265	-1.9951020408163267	-2696.505389853826	-2696.505389853826
-0.9551020408163265	-1.910204081632653	-2691.884616967694	-2691.884616967694
-0.9551020408163265	-1.8253061224489797	-2687.353329062317	-2687.353329062317
-0.9551020408163265	-1.7404081632653061	-2682.9116137457827	-2682.9116137457827
-0.9551020408163265	-1.6555102040816327	-2678.5595585959895	-2678.5595585959895
-0.9551020408163265	-1.5706122448979594	-2674.297251160549	-2674.297251160549
-0.9551020408163265	-1.4857142857142858	-2670.124778956651	-2670.124778956651
-0.9551020408163265	-1.4008163265306122	-2666.0422294710406	-2666.0422294710406
-0.9551020408163265	-1.3159183673469388	-2662.049690159603	-2662.049690159603
-0.9551020408163265	-1.2310204081632654	-2658.1472484474934	-2658.1472484474934
-0.9551020408163265	-1.1461224489795918	-2654.334991729413	-2654.334991729413
-0.9551020408163265	-1.0612244897959184	-2650.613007368852	-2650.613007368852
-0.9551020408163265	-0.9763265306122448	-2646.981382698352	-2646.981382698352
-0.9551020408163265	-0.8914285714285715	-2643.440205019564	-2643.440205019564
-0.9551020408163265	-0.8065306122448979	-2639.989561602512	-2639.989561602512
-0.9551020408163265	-0.7216326530612245	-2636.6295396866535	-2636.6295396866535
-0.9551020408163265	-0.6367346938775511	-2633.360226479183	-2633.360226479183
-0.9551020408163265	-0.5518367346938775	-2630.1817091563767	-2630.1817091563767
-0.9551020408163265	-0.46693877551020413	-2627.0940748631137	-2627.0940748631137
-0.9551020408163265	-0.38204081632653053	-2624.097410712461	-2624.097410712461
