x	y	custom_beta
-0.9551020408163265	0.1273469387755104	-127.1633170053074
-0.9551020408163265	0.21224489795918355	-127.16310727359188
-0.9551020408163265	0.29714285714285715	-127.16289468044727
-0.9551020408163265	0.38204081632653075	-127.16267922587362
-0.9551020408163265	0.46693877551020435	-127.1624609098709
-0.9551020408163265	0.5518367346938775	-127.16223973243912
-0.9551020408163265	0.6367346938775511	-127.16201569357828
-0.9551020408163265	0.7216326530612247	-127.1617887932884
-0.9551020408163265	0.8065306122448979	-127.16155903156944
-0.9551020408163265	0.8914285714285715	-127.16132640842143
-0.9551020408163265	0.9763265306122451	-127.16109092384437
-0.9551020408163265	1.0612244897959187	-127.16085257783826
-0.9551020408163265	1.1461224489795918	-127.16061137040306
-0.9551020408163265	1.2310204081632654	-127.16036730153881
-0.9551020408163265	1.315918367346939	-127.16012037124551
-0.9551020408163265	1.4008163265306122	-127.15987057952316
-0.9551020408163265	1.4857142857142858	-127.15961792637174
-0.9551020408163265	1.5706122448979594	-127.15936241179125
-0.9551020408163265	1.655510204081633	-127.15910403578171
-0.9551020408163265	1.7404081632653061	-127.15884279834312
-0.9551020408163265	1.8253061224489797	-127.15857869947546
-0.9551020408163265	1.9102040816326533	-127.15831173917874
-0.9551020408163265	1.9951020408163265	-127.15804191745298
-0.9551020408163265	2.08	-127.15776923429814
-0.9126530612244899	-2.08	-116.1155196348129
-0.9126530612244899	-1.9951020408163267	-116.11538430025288
-0.9126530612244899	-1.910204081632653	-116.1152461042638
-0.9126530612244899	-1.8253061224489797	-116.11510504684567
-0.9126530612244899	-1.7404081632653061	-116.11496112799848
-0.9126530612244899	-1.6555102040816327	-116.11481434772223
-0.9126530612244899	-1.5706122448979594	-116.11466470601692
-0.9126530612244899	-1.4857142857142858	-116.11451220288257
-0.9126530612244899	-1.4008163265306122	-116.11435683831914
-0.9126530612244899	-1.3159183673469388	-116.11419861232665
-0.9126530612244899	-1.2310204081632654	-116.1140375249051
-0.9126530612244899	-1.1461224489795918	-116.1138735760545
-0.9126530612244899	-1.0612244897959184	-116.11370676577485
-0.9126530612244899	-0.9763265306122448	-116.11353709406615
-0.9126530612244899	-0.8914285714285715	-116.11336456092836
-0.9126530612244899	-0.8065306122448979	-116.11318916636152
-0.9126530612244899	-0.7216326530612245	-116.11301091036563
-0.9126530612244899	-0.6367346938775511	-116.11282979294067
-0.9126530612244899	-0.5518367346938775	-116.11264581408666
-0.9126530612244899	-0.46693877551020413	-116.1124589738036
-0.9126530612244899	-0.38204081632653053	-116.11226927209147
-0.9126530612244899	-0.29714285714285715	-116.11207670895027
-0.9126530612244899	-0.21224489795918355	-116.11188128438003
-0.9126530612244899	-0.12734693877551018	-116.11168299838072
-0.9126530612244899	-0.0424489795918368	-116.11148185095236
-0.9126530612244899	0.0424489795918368	-116.11127784209494
-0.9126530612244899	0.1273469387755104	-116.11107097180845
-0.9126530612244899	0.21224489795918355	-116.11086124009292
-0.9126530612244899	0.29714285714285715	-116.1106486469483
-0.9126530612244899	0.38204081632653075	-116.11043319237466
-0.9126530612244899	0.46693877551020435	-116.11021487637194
-0.9126530612244899	0.5518367346938775	-116.10999369894016
-0.9126530612244899	0.6367346938775511	-116.10976966007932
-0.9126530612244899	0.7216326530612247	-116.10954275978943
-0.9126530612244899	0.8065306122448979	-116.10931299807048
-0.9126530612244899	0.8914285714285715	-116.10908037492247
-0.9126530612244899	0.9763265306122451	-116.10884489034541
-0.9126530612244899	1.0612244897959187	-116.1086065443393
-0.9126530612244899	1.1461224489795918	-116.1083653369041
-0.9126530612244899	1.2310204081632654	-116.10812126803985
-0.9126530612244899	1.315918367346939	-116.10787433774655
-0.9126530612244899	1.4008163265306122	-116.1076245460242
-0.9126530612244899	1.4857142857142858	-116.10737189287278
