x	y	fast_likelihood_quarks.yaml	fast_likelihood_leptons.yaml	likelihood_ewpt.yaml	likelihood_eeww.yaml	likelihood_lept.yaml	likelihood_rd_rds.yaml	likelihood_lfu_fccc.yaml	likelihood_lfu_fcnc.yaml	likelihood_bcpv.yaml	likelihood_bqnunu.yaml	likelihood_lfv.yaml	likelihood_zlfv.yaml	likelihood_higgs.yaml	custom_beta	global
-0.156	0.017404081632653064	7.000677000936207	-0.7026409488923377	-0.08387517482925588	-0.00039909751044220343	-4.830129543886841e-06	12.73633796397785	-0.016302185756522647	-68.0	0.0034272693090358075	0.40838466630145653	-141.95912953364422	-1.4406413157530551e-05	0.0005243693491294721	-0.0004677291594816779	-190.61348263646127
-0.156	0.018253061224489796	6.904104836935346	-0.7026100033418601	-0.08384646680176644	-0.0004037218642629625	-4.81951200081987e-06	12.736156519737701	-0.016333024702277044	-68.0	0.0033897638860196366	0.4083848033899251	-177.00550515530412	-1.4425475308499358e-05	0.0005249533223299352	-0.0004937763139878371	-225.7566505160443
-0.156	0.019102040816326535	6.840340853371856	-0.7025775864545807	-0.08381643451479093	-0.0004085661475912161	-4.808389541421931e-06	12.735966342972949	-0.016365330744054774	-68.0	0.0033505837245604297	0.40838494699768724	-211.88536048447247	-1.4445442740651515e-05	0.0005255650665141332	-0.0005210643338386944	-260.700500428366
-0.156	0.019951020408163267	6.773141114841451	-0.7025436985473164	-0.08378511077015816	-0.00041363032160290913	-4.796762260061982e-06	12.735767420822594	-0.01639910368393771	-68.0	0.0033097440570450942	0.4083850971235634	-251.73151700880484	-1.4466315107597438e-05	0.000526204576470235	-0.0005495932851999896	-300.6140978270693
-0.156	0.0208	6.702433913602249	-0.7025083399487073	-0.08375228348151964	-0.00041891434592855603	-4.784630255216804e-06	12.735559739845923	-0.016434343313832755	-68.0	0.0032672607434349743	0.408385253766296	-296.9933237835184	-1.448809205939483e-05	0.0005268718467767997	-0.0005793632481072564	-345.94686326077414
-0.1496326530612245	-0.0208	7.416941163048932	-0.7047947404665109	-0.08538214119069565	-0.00039142066245645424	-4.398297106300575e-06	12.73319452865628	-0.01859425533704595	-68.0	0.0032808388076732697	0.4087204945640881	-253.32071832914815	-1.3399831722438194e-05	0.000489267244137892	-0.0007273072129692082	-301.5679996998256
-0.1496326530612245	-0.019951020408163263	7.488663167661457	-0.7048302545625305	-0.08541507775385782	-0.0003861254571013717	-4.410438818491791e-06	12.73340215954731	-0.018558988457513692	-68.0	0.0033233785402941862	0.4087203492447298	-214.71581026974127	-1.3378160639732073e-05	0.0004885974139554605	-0.0006974724510655506	-262.89111832461504
-0.1496326530612245	-0.019102040816326528	7.556833039204776	-0.7048642915046557	-0.08544657513280995	-0.0003810505665633457	-4.4220754049639766e-06	12.733601033189494	-0.01852518939716674	-68.0	0.0033642726649443233	0.40872020997111846	-180.7300167544618	-1.3357389732959746e-05	0.00048795545053081923	-0.0006688813997470788	-228.836914011447
-0.1496326530612245	-0.018253061224489796	7.6215227917749075	-0.7048968509612621	-0.08547676837455853	-0.0003761960315209478	-4.433206768461595e-06	12.733791163088492	-0.018492858365547704	-68.0	0.003403505273405827	0.4087200767444532	-150.98008342382857	-1.333751936272165e-05	0.0004873413593280418	-0.0006415339821614907	-199.02206052402917
-0.1496326530612245	-0.01740408163265306	7.682801296078537	-0.7049279326136002	-0.08550559003762004	-0.0003715618909048146	-4.443832811507065e-06	12.733972562167391	-0.018461995561146693	-68.0	0.0034410610868329528	0.4087199495658105	-125.0991859611034	-1.33185498700783e-05	0.0004867551455909336	-0.0006154301285050678	-173.0796646096737
