x	y	custom_beta
-0.9551020408163265	-1.8253061224489797	-127.16735130517424
-0.9551020408163265	-1.7404081632653061	-127.16720738632705
-0.9551020408163265	-1.6555102040816327	-127.1670606060508
-0.9551020408163265	-1.5706122448979594	-127.16691096434549
-0.9551020408163265	-1.4857142857142858	-127.16675846121113
-0.9551020408163265	-1.4008163265306122	-127.1666030966477
-0.9551020408163265	-1.3159183673469388	-127.16644487065521
-0.9551020408163265	-1.2310204081632654	-127.16628378323367
-0.9551020408163265	-1.1461224489795918	-127.16611983438307
-0.9551020408163265	-1.0612244897959184	-127.16595302410342
-0.9551020408163265	-0.9763265306122448	-127.16578335239471
-0.9551020408163265	-0.8914285714285715	-127.16561081925693
-0.9551020408163265	-0.8065306122448979	-127.16543542469009
-0.9551020408163265	-0.7216326530612245	-127.1652571686942
-0.9551020408163265	-0.6367346938775511	-127.16507605126924
-0.9551020408163265	-0.5518367346938775	-127.16489207241523
-0.9551020408163265	-0.46693877551020413	-127.16470523213216
-0.9551020408163265	-0.38204081632653053	-127.16451553042003
-0.9551020408163265	-0.29714285714285715	-127.16432296727884
-0.9551020408163265	-0.21224489795918355	-127.1641275427086
-0.9551020408163265	-0.12734693877551018	-127.16392925670928
-0.9551020408163265	-0.0424489795918368	-127.16372810928092
-0.9551020408163265	0.0424489795918368	-127.1635241004235
-0.9551020408163265	0.1273469387755104	-127.16331723013701
-0.9551020408163265	0.21224489795918355	-127.16310749842148
-0.9551020408163265	0.29714285714285715	-127.16289490527687
-0.9551020408163265	0.38204081632653075	-127.16267945070322
-0.9551020408163265	0.46693877551020435	-127.16246113470051
-0.9551020408163265	0.5518367346938775	-127.16223995726872
-0.9551020408163265	0.6367346938775511	-127.16201591840789
-0.9551020408163265	0.7216326530612247	-127.161789018118
-0.9551020408163265	0.8065306122448979	-127.16155925639904
-0.9551020408163265	0.8914285714285715	-127.16132663325104
-0.9551020408163265	0.9763265306122451	-127.16109114867398
-0.9551020408163265	1.0612244897959187	-127.16085280266786
-0.9551020408163265	1.1461224489795918	-127.16061159523267
-0.9551020408163265	1.2310204081632654	-127.16036752636842
-0.9551020408163265	1.315918367346939	-127.16012059607512
-0.9551020408163265	1.4008163265306122	-127.15987080435276
-0.9551020408163265	1.4857142857142858	-127.15961815120134
-0.9551020408163265	1.5706122448979594	-127.15936263662086
-0.9551020408163265	1.655510204081633	-127.15910426061131
-0.9551020408163265	1.7404081632653061	-127.15884302317272
-0.9551020408163265	1.8253061224489797	-127.15857892430506
-0.9551020408163265	1.9102040816326533	-127.15831196400835
-0.9551020408163265	1.9951020408163265	-127.15804214228258
-0.9551020408163265	2.08	-127.15776945912775
-0.9126530612244899	-2.08	-116.11551984010175
-0.9126530612244899	-1.9951020408163267	-116.11538450554174
-0.9126530612244899	-1.910204081632653	-116.11524630955266
-0.9126530612244899	-1.8253061224489797	-116.11510525213453
-0.9126530612244899	-1.7404081632653061	-116.11496133328734
-0.9126530612244899	-1.6555102040816327	-116.11481455301109
-0.9126530612244899	-1.5706122448979594	-116.11466491130578
-0.9126530612244899	-1.4857142857142858	-116.11451240817142
-0.9126530612244899	-1.4008163265306122	-116.114357043608
-0.9126530612244899	-1.3159183673469388	-116.1141988176155
-0.9126530612244899	-1.2310204081632654	-116.11403773019396
-0.9126530612244899	-1.1461224489795918	-116.11387378134336
-0.9126530612244899	-1.0612244897959184	-116.1137069710637
-0.9126530612244899	-0.9763265306122448	-116.113537299355
-0.9126530612244899	-0.8914285714285715	-116.11336476621722
-0.9126530612244899	-0.8065306122448979	-116.11318937165038
-0.9126530612244899	-0.7216326530612245	-116.11301111565449
-0.9126530612244899	-0.6367346938775511	-116.11282999822953
-0.9126530612244899	-0.5518367346938775	-116.11264601937552
-0.9126530612244899	-0.46693877551020413	-116.11245917909245
-0.9126530612244899	-0.38204081632653053	-116.11226947738032
-0.9126530612244899	-0.29714285714285715	-116.11207691423913
-0.9126530612244899	-0.21224489795918355	-116.11188148966889
-0.9126530612244899	-0.12734693877551018	-116.11168320366957
-0.9126530612244899	-0.0424489795918368	-116.11148205624121
-0.9126530612244899	0.0424489795918368	-116.11127804738379
-0.9126530612244899	0.1273469387755104	-116.1110711770973
-0.9126530612244899	0.21224489795918355	-116.11086144538177
-0.9126530612244899	0.29714285714285715	-116.11064885223716
-0.9126530612244899	0.38204081632653075	-116.11043339766351
-0.9126530612244899	0.46693877551020435	-116.1102150816608
-0.9126530612244899	0.5518367346938775	-116.10999390422901
-0.9126530612244899	0.6367346938775511	-116.10976986536818
-0.9126530612244899	0.7216326530612247	-116.10954296507829
-0.9126530612244899	0.8065306122448979	-116.10931320335933
-0.9126530612244899	0.8914285714285715	-116.10908058021133
-0.9126530612244899	0.9763265306122451	-116.10884509563427
-0.9126530612244899	1.0612244897959187	-116.10860674962815
-0.9126530612244899	1.1461224489795918	-116.10836554219296
-0.9126530612244899	1.2310204081632654	-116.10812147332871
-0.9126530612244899	1.315918367346939	-116.10787454303541
-0.9126530612244899	1.4008163265306122	-116.10762475131305
-0.9126530612244899	1.4857142857142858	-116.10737209816163
