x	y	fast_likelihood_quarks.yaml	custom_beta	global
-0.9975510204081633	-1.1461224489795918	-4.562554970854762	-0.0025789429292899513	-4.562554970854762
-0.9975510204081633	-1.0612244897959184	-4.628908674802005	-0.002414352943560516	-4.628908674802005
-0.9975510204081633	-0.9763265306122448	-4.696839920139496	-0.0022475643380630572	-4.696839920139496
-0.9975510204081633	-0.8914285714285715	-4.766360043639963	-0.0020785383915153943	-4.766360043639963
-0.9975510204081633	-0.8065306122448979	-4.837480023580042	-0.001907235542375929	-4.837480023580042
-0.9975510204081633	-0.7216326530612245	-4.910210464620661	-0.001733615360535623	-4.910210464620661
-0.9975510204081633	-0.6367346938775511	-4.984578416187162	-0.001557636532993456	-4.984578416187162
-0.9975510204081633	-0.5518367346938775	-5.060559932766864	-0.00137925683100093	-5.060559932766864
-0.9975510204081633	-0.46693877551020413	-5.138181164160301	-0.0011984330980112645	-5.138181164160301
-0.9975510204081633	-0.38204081632653053	-5.217450898929087	-0.001015121211821679	-5.217450898929087
-0.9975510204081633	-0.29714285714285715	-5.2983774067788545	-0.0008292760718404679	-5.2983774067788545
-0.9975510204081633	-0.21224489795918355	-5.380968381260004	-0.0006408515621387778	-5.380968381260004
-0.9975510204081633	-0.12734693877551018	-5.465230920217039	-0.00044980053587551083	-5.465230920217039
-0.9975510204081633	-0.0424489795918368	-5.5511714796293745	-0.0002560747782354156	-5.5511714796293745
-0.9975510204081633	0.0424489795918368	-5.638795832238202	-5.9624985624395777e-05	-5.638795832238202
-0.9975510204081633	0.1273469387755104	-5.728109029688767	0.00013959927400719607	-5.728109029688767
-0.9975510204081633	0.21224489795918355	-5.819115366547464	0.00034164957787652384	-5.819115366547464
-0.9975510204081633	0.29714285714285715	-5.911818326662683	0.0005465786896365898	-5.911818326662683
-0.9975510204081633	0.38204081632653075	-6.0062205311068055	0.0007544405850694602	-6.0062205311068055
-0.9975510204081633	0.46693877551020435	-6.10232370071094	0.0009652904950598895	-6.10232370071094
-0.9975510204081633	0.5518367346938775	-6.200128599045684	0.0011791849244673358	-6.200128599045684
-0.9975510204081633	0.6367346938775511	-6.299634988551418	0.0013961816978280694	-6.299634988551418
-0.9975510204081633	0.7216326530612247	-6.400841561846448	0.0016163399961897085	-6.400841561846448
-0.9975510204081633	0.8065306122448979	-6.503745887111847	0.0018397203887161595	-6.503745887111847
-0.9975510204081633	0.8914285714285715	-6.608344363614833	0.002066384874410687	-6.608344363614833
-0.9975510204081633	0.9763265306122451	-6.714632129024324	0.00229639691929151	-6.714632129024324
-0.9975510204081633	1.0612244897959187	-6.8226030374807465	0.0025298215022075965	-6.8226030374807465
-0.9975510204081633	1.1461224489795918	-6.932249550712243	0.00276672515201426	-6.932249550712243
-0.9975510204081633	1.2310204081632654	-7.04356269597497	0.0030071759979364288	-7.04356269597497
-0.9975510204081633	1.315918367346939	-7.156531981674277	0.0032512438021967682	-7.156531981674277
