BR(B->Knunu)	BR(tau->mununu)	BR(K->pinunu)	BR(B->mumu)	BR(Bs->mumu)	RK*	RD*	logL
5.907559437160202e-06	0.17283787471715528	9.042423824937068e-11	1.1426203011187623e-10	3.681974223014587e-09	0.9851485122402065	0.35335023616182387	22.226938
6.187169833296939e-06	0.17275095453774178	7.057328314601648e-11	1.1444214328080571e-10	3.702144068341444e-09	0.9698171401439271	0.36510493335968774	21.293598
6.307451533084788e-06	0.1727209808380944	7.126168440824143e-11	1.1433169245215136e-10	3.6796991474534787e-09	0.9890930530825003	0.36987144102581077	21.326126
6.5338474544530775e-06	0.17282306977250186	9.234877220101196e-11	1.1427695998261054e-10	3.6725882479941303e-09	0.9862238331916486	0.37380363228854724	19.953094
6.656823931341816e-06	0.17280664723377528	1.1559769519670302e-10	1.1428528928110375e-10	3.673199499935292e-09	0.9628085665100753	0.37807124389237795	20.083782
5.7298523132686984e-06	0.17280530812301234	8.330761144621462e-11	1.1426375500443153e-10	3.6710590566501504e-09	0.9921561706056303	0.34848665983120686	21.985823
6.190342313508777e-06	0.17282246773657228	7.061645477654825e-11	1.1427197186213609e-10	3.6718801058280433e-09	0.9890070469366996	0.3631068328552002	22.104351
5.70860726953176e-06	0.17286259972559598	6.98887615106758e-11	1.1428375772509422e-10	3.678935045774473e-09	0.9868237017945228	0.3463751222126493	21.003096
5.8542567147158296e-06	0.17280662095367758	8.086992150467184e-11	1.143007757864998e-10	3.703922481228582e-09	1.004550119227845	0.35254880983558906	20.100727
5.274516215102191e-06	0.1728745259811445	1.0247241651807809e-10	1.1425848418270607e-10	3.6720944573830982e-09	0.9122056273760301	0.3308244398373109	16.86297
5.493757727271711e-06	0.17286204764863652	6.996816052106804e-11	1.1426820171360358e-10	3.670470850306601e-09	0.9886129698012365	0.3391992438784823	21.405533
5.722080307844076e-06	0.17285994541231697	9.93228590264889e-11	1.142801768400898e-10	3.6725584632278694e-09	0.9356484501875463	0.34694582150449893	21.030642
5.588068729461444e-06	0.17285995982249477	8.672339791533652e-11	1.142727553885249e-10	3.670654264245331e-09	0.9778077647519038	0.34255743113922327	21.4133
5.830231846123718e-06	0.17286073613357678	7.037394630202284e-11	1.1427108631108181e-10	3.673061271400439e-09	0.9939792886106734	0.35046167289881147	20.74268
5.856246483682964e-06	0.1726167595872483	1.0652531986203026e-10	1.1436426009841767e-10	3.67177398074717e-09	0.995746299738315	0.3600746691375854	20.396925
