C9e	C10e	CVLe	Cnue	C9mu	C10mu	CVLmu	Cnumu	CVLtau	Cnutau	logL
-0.40714644932789695	-0.20810494011707514	0.0002705952558203864	-0.007658441349901104	-0.610133599673324	-0.0051177897330933995	4.55080263077253e-06	0.00010123362744707104	0.08735285106178323	-2.547576436198808	26.682123
-0.24341964903052457	-0.2821879871697198	0.00036535874269740323	-0.010534083907799767	-0.5191439677351479	-0.00646366840710701	7.125135301884638e-06	6.184471865231002e-06	0.07383834040780514	-2.1723251190674784	26.002747
-0.22779223084806074	-0.28000254257497975	0.000381550835243624	-0.010458528405108343	-0.5062183031228666	-0.0015764703001561258	1.3113452442337964e-06	0.00018441039596642879	0.07498206238045962	-2.098537196435194	27.87262
-0.22488886848664544	-0.29804661136587196	0.0003956862321594505	-0.011140755399319836	-0.5129790013971353	-0.009956478355413466	1.2739637275707073e-05	-0.00012867679383331415	0.07513606067830172	-2.1603913995544444	26.10631
-0.0921014652916011	-0.4508115754832521	0.0006144056636139481	-0.01697101263000507	-0.5409047451601737	-0.0020082956108431254	2.8950994438256536e-06	0.00018433202906706592	0.079778619627664	-2.237851020365635	27.396997
-0.23132940646316794	-0.30110017994364335	0.0004059205289839457	-0.011253548036391468	-0.530485186112912	-0.0019444002904108134	1.5107064694293405e-06	0.00018219517573606162	0.07781099838631851	-2.2000876972712367	27.92767
-0.1757804093888098	-0.3879975790494244	0.0005073083265112712	-0.014560716194628107	-0.5564167311598612	-0.0073612572110441366	8.703603794633037e-06	-1.0011705786099143e-05	0.07973997591042277	-2.3267991519172453	27.540327
0.014441285753390175	-0.4033962279349705	0.0005233490324834258	-0.015234259009218218	-0.31121165533467643	-0.077743285928723	0.00010058103837015543	-0.002785368937199367	0.05425121892507406	-1.5973157906849862	20.679333
-0.27567867486727665	-0.1953429333989169	0.00025833846476093193	-0.007240216671109297	-0.4660381493852368	-0.004983458838671829	5.329568536861853e-06	3.665472034868736e-05	0.06776887759056095	-1.9489359989507347	26.405321
-0.2748684630711284	-0.22748672650215004	0.00030598574289634307	-0.008453740366508943	-0.5004989530504844	-0.0018562365191949156	1.3009704238342956e-06	0.00017125694937281038	0.07341285153872878	-2.0779616400456122	27.510866
-0.30782250388689464	-0.10220833835343356	0.0001517538815800258	-0.003707474489777042	-0.4008802463365411	-0.00915059580924104	1.2958082890386776e-05	-0.00015176583057043076	0.066309337179268	-1.6985532604283773	21.222004
-0.009924195712096006	-0.558954189551958	0.0007369729303969221	-0.021094011805334507	-0.5546532974595926	-0.014225087655098584	1.8506367013614092e-05	-0.00027050524827891743	0.08078639753853196	-2.3411914493997306	24.167807
-0.43814014808400625	-0.13680808240739914	0.00017588232899603455	-0.004952306324100943	-0.5302175230266386	-0.04473070694946146	5.6094692646965224e-05	-0.0014324467591397259	0.0810495502713208	-2.3813612820595265	21.352095
-0.43576130952272935	-0.08854731073127262	0.00011336625531742548	-0.003131644524383077	-0.5218870824360144	-0.0024215378083461956	1.0539346870034092e-06	0.0001607154862720323	0.07418426760695386	-2.174473718985003	23.963469
-0.18500932860298164	-0.23860265273866096	0.00031548554713778485	-0.008916758169573595	-0.42168840000965707	-0.0019235813246695978	1.8398709928551166e-06	0.00013056347366899817	0.06068929753835424	-1.7504430220796	26.12302
-0.13097474182371951	-0.4295222109172176	0.0005591666612577556	-0.01614954436206847	-0.5546058570250403	-0.0058910956661229795	6.210646464012227e-06	4.447158910688928e-05	0.07893921128538557	-2.31161196592306	26.451616
-0.5201462949218374	-0.2708806850072149	0.0003578978258086336	-0.009973361701813961	-0.7884629762279447	-0.00256400369976467	8.20803771470554e-07	0.00028367658954265467	0.11403792560981771	-3.2754377092939424	26.486132
-0.33511770149546605	-0.2960276383022521	0.0003977881319568754	-0.011011881529016148	-0.6291959537237157	-0.0019493860740865574	1.0380485987333738e-06	0.0002297637185731937	0.09213533121842783	-2.610337326400339	28.129042
-0.1948211508416425	-0.3662723179244467	0.00047380189945243006	-0.01373139910399938	-0.5493111925196422	-0.011782276125974938	1.376542171647493e-05	-0.000180257282281473	0.07864160275578669	-2.31629809585398	25.665955
